15:03:41.942 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Setting uncaught exception handler org.apache.hyracks.api.lifecycle.LifeCycleComponentManager@16414e40
15:03:41.969 [main] INFO  org.apache.hyracks.util.MXHelper - Access to file descriptors (FDs) is not available on Windows; FD info will not be logged
15:03:41.969 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Starting NodeControllerService
15:03:42.214 [main] INFO  org.apache.hyracks.util.trace.Tracer - Initialize Tracer org.apache.hyracks.util.trace.Tracer.Traces.asterix_nc2
15:03:42.219 [main] INFO  org.apache.hyracks.util.trace.Tracer - Set categories for Tracer org.apache.hyracks.util.trace.Tracer.Traces.asterix_nc2 to []
15:03:42.220 [main] INFO  org.apache.hyracks.util.LoggingConfigUtil - Setting org.apache.hyracks log level to INFO
15:03:42.222 [main] INFO  org.apache.hyracks.util.LoggingConfigUtil - Setting org.apache.asterix log level to INFO
15:03:42.226 [main] INFO  org.apache.asterix.hyracks.bootstrap.ApplicationConfigurator - Found JRE version 17.0.1
15:03:42.226 [main] WARN  org.apache.asterix.hyracks.bootstrap.ApplicationConfigurator - JRE version "17.0.1" is untested
15:03:42.476 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - Starting Asterix node controller: asterix_nc2
15:03:42.668 [main] INFO  org.apache.asterix.app.nc.TransactionSubsystem - Checkpoint Properties: {"class" : "CheckpointProperties", "checkpoint-dir-path" : "data/blue/txnlog", "lsn-threshold" : 67108864, "poll-frequency" : 120, "history-to-keep" : 2, "dataset-checkpoint-interval" : 3600}
15:03:42.672 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Checkpoint directory = data/blue/txnlog
15:03:42.672 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Checkpoint directory data/blue/txnlog\ didn't exist. Creating one
15:03:42.673 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:03:42.674 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned empty
15:03:42.681 [main] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - the log dir (data/blue/txnlog) is empty. returning empty list
15:03:42.751 [main] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - Created log file data/blue/txnlog\transaction_log_0
15:03:42.751 [main] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - initializing log anchor with log file Id: 0 at offset: 0
15:03:42.752 [main] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - LogManager starts logging in LSN: 0
15:03:42.759 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:03:42.760 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned empty
15:03:42.761 [main] INFO  org.apache.asterix.app.nc.RecoveryManager - The checkpoint file doesn't exist: systemState = PERMANENT_DATA_LOSS
15:03:42.761 [main] WARN  org.apache.asterix.app.nc.NCAppRuntimeContext - Deleting the storage dir. initialRun = false, systemState = PERMANENT_DATA_LOSS
15:03:42.765 [main] INFO  org.apache.asterix.app.nc.NCAppRuntimeContext - The value of maxConcurrentFlushes is not provided. Setting maxConcurrentFlushes = 1.
15:03:42.841 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:03:42.841 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned empty
15:03:42.841 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:03:42.842 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned empty
15:03:42.842 [main] INFO  org.apache.asterix.app.nc.RecoveryManager - The checkpoint file doesn't exist: systemState = PERMANENT_DATA_LOSS
15:03:42.842 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - System state: PERMANENT_DATA_LOSS
15:03:42.842 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - Node ID: asterix_nc2
15:03:42.843 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - Stores: {asterix_nc1=[data/red\storage], asterix_nc2=[data/blue\storage]}
15:03:43.037 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - addCc: /127.0.0.1:1099
15:03:43.062 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Registering with Cluster Controller ClusterControllerRemoteProxy [/127.0.0.1:1099]
15:03:43.218 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Registering with Cluster Controller ClusterControllerRemoteProxy [/127.0.0.1:1099] completed
